,total
454,-0.642882532
455,-0.029915255
456,-0.977253306
457,0.662396399
458,1.116372404
459,-0.221541233
460,-0.891108368
461,1.008950629
462,-0.153962774
463,-0.574201942
464,-0.840707797
465,-0.280422442
466,0.183740742
467,0.975190229
468,1.699471353
469,1.928777669
470,-0.618851457
471,-1.067801267
472,1.470431371
473,1.929058433
474,-1.11127627
475,-0.786632092
476,0.18805193
477,0.224372792
478,0.115065535
479,-0.985556116
480,-0.844690446
481,1.024382156
482,-0.837526273
483,-0.457694537
484,0.849402606
485,0.035109618
486,-1.038681128
487,-0.693520422
488,1.903142786
489,0.169227362
490,-0.68094032
491,-0.885517551
492,-0.766007134
493,1.445698495
494,-1.088861628
495,-0.320900181
496,2.444079259
497,-1.087310621
498,-1.093120986
499,-1.114986201
500,-1.105178881
501,-1.014717188
502,-0.961347592
503,-0.166278327
504,-0.987402603
505,-0.497307884
506,-1.1161559
507,0.145267778
508,-1.016741146
509,0.9887908
510,-0.806248014
511,0.892075856
512,1.101584038
513,1.046182867
514,-1.053719585
515,-0.865746578
516,-0.557071611
517,-0.753234798
518,-1.115679904
519,-1.096952198
520,-0.797474358
521,-0.74642867
522,-0.28074307
523,-0.019169265
524,0.011943381
525,-1.030599394
526,0.920896533
527,-0.96311245
528,0.478398107
529,1.754382015
530,-0.476075921
531,-0.828821548
532,-0.463721553
533,0.518054503
534,1.12330132
535,-0.480409599
536,-1.09326735
537,0.799947528
538,0.232511122
539,0.760613755
540,1.808928629
541,-0.403949742
542,0.625247619
543,-0.844885699
544,1.420083181
545,-0.399697664
546,-0.542997847
547,2.176502629
548,-1.113918017
549,1.648478953
550,-0.040623092
551,-0.319035862
552,0.441849079
553,0.299906083
554,-1.041223815
555,1.363955723
556,-1.095616044
557,-0.920434517
558,-1.060371975
559,2.50095565
560,1.061976294
561,-1.048390872
562,1.797625487
563,0.854101916
564,-0.98064653
565,1.304426122
566,-0.984099081
567,1.727506731
568,-0.908466424
569,1.56659835
570,0.214351887
571,0.223090448
572,-0.74826045
573,1.238844394
574,0.664433497
575,-0.867670545
576,-1.115468535
577,-0.815464855
578,0.613066
579,-0.042854585
580,0.016434035
581,-1.098267288
582,-1.034845138
583,0.409665266
584,0.1406259
585,-0.28596432
586,0.197228885
587,0.518189803
588,1.448079675
589,-0.370544063
590,1.756194432
591,-0.314409712
592,0.635595128
593,-0.289869777
594,2.241508541
595,-0.013353731
596,0.200497654
597,-0.709532354
598,-0.539911186
599,-0.484419329
600,0.691569004
601,-0.481041725
602,-0.245090027
603,-0.577564281
604,-0.366271882
605,-0.061811165
606,-1.111401859
607,-0.081831227
608,0.225059137
609,1.442206285
610,-1.115969405
611,1.655908384
612,-1.072204528
613,-0.728980509
614,1.081600665
615,0.648279292
616,0.75144972
