neurons,layers,learn_rate,epochs,hys_score,hys_mse,hys_mape,jou_score,jou_mse,jou_mape,time
160,1,0.001,100,0.9963252013914288,0.0035819706034281706,0.6734233375870704,0.9934695892122012,0.006372713435751821,0.2775892408998194,2026-03-21 18:44:26.652529
160,1,0.0005,100,0.9957487182213928,0.0041438914019240524,1.6823020766785488,0.9922214270626649,0.007590734776033764,0.2788885266110705,2026-03-21 18:45:02.395920
160,1,0.0003,100,0.9952148272932366,0.004664295868615609,0.6019402873731191,0.9906070737119159,0.009166104476756174,0.29084380818207484,2026-03-21 18:45:50.892644
160,2,0.001,100,0.99775491963194,0.0021883680542296572,0.7026660416765411,0.995523737480138,0.004368169052331779,0.2208354096880052,2026-03-21 18:46:30.966450
160,2,0.0005,100,0.9970659910301041,0.002859893833596534,1.127373871417594,0.9945250617194132,0.005342728639030574,0.21449312650711103,2026-03-21 18:47:13.267558
160,2,0.0003,100,0.9965476688866943,0.0033651227940268654,0.8758890913330128,0.9934656544923551,0.006376553139385116,0.26139906780741545,2026-03-21 18:47:46.338683
160,4,0.001,100,0.9969253644566475,0.0029969680806062305,0.6480880159793411,0.9947814870399483,0.005092495516101448,0.2697289955449023,2026-03-21 18:48:24.374460
160,4,0.0005,100,0.9972231755633066,0.002706679892584332,0.39971530291564616,0.9948314924714555,0.0050436976233529714,0.21212338815938514,2026-03-21 18:49:09.786301
160,4,0.0003,100,0.9960412182036761,0.00385878017552977,2.332826629172928,0.9943101904831829,0.005552411131997186,0.27466745724699143,2026-03-21 18:49:46.397700
170,1,0.001,100,0.996180892847354,0.0037226338118809123,0.6169446279456452,0.9935927819720839,0.006252495553354791,0.299617066123263,2026-03-21 18:50:16.551620
170,1,0.0005,100,0.995879206209324,0.004016699632617282,2.2506306590686074,0.9921167013852072,0.007692931521918331,0.2992908550446591,2026-03-21 18:51:00.165022
170,1,0.0003,100,0.9951816610071218,0.004696624350946941,0.5521482561049974,0.9907516433491613,0.009025025929079413,0.3095081946859858,2026-03-21 18:51:30.025039
170,2,0.001,100,0.9973462810748749,0.002586684113079885,0.6434952918459432,0.9945266377593074,0.005341190657587309,0.2239752629136627,2026-03-21 18:52:02.705732
170,2,0.0005,100,0.9973900663172607,0.0025440049168038697,0.3485586184236946,0.9950189007336476,0.0048608149243543775,0.2310446899839373,2026-03-21 18:52:45.032747
170,2,0.0003,100,0.9960479176303935,0.0038522499810571755,0.6881480068684069,0.9931047376081483,0.006728754547828134,0.3117881908078136,2026-03-21 18:53:23.486991
170,4,0.001,100,0.9963103288754964,0.0035964674291167026,0.4153932899230791,0.99369844447368,0.006149384605903315,0.27033226119688203,2026-03-21 18:54:00.122501
170,4,0.0005,100,0.997332797923731,0.002599826670314529,0.4921927065892349,0.994418611570982,0.00544660821310167,0.2726206948248268,2026-03-21 18:54:42.454724
170,4,0.0003,100,0.9964915384169237,0.0034198353685353775,0.8988387976974337,0.9941023604984799,0.005755222406648354,0.23291852269012328,2026-03-21 18:55:29.879597
180,1,0.001,100,0.9965086795299193,0.0034031272521458074,0.6529755842599759,0.993790712079594,0.006059345092157716,0.2624641720898291,2026-03-21 18:55:59.590648
180,1,0.0005,100,0.9959001897395496,0.003996246161167526,0.5111392041026827,0.9919483219851324,0.00785724487065372,0.2973579799533726,2026-03-21 18:56:28.517890
180,1,0.0003,100,0.9952732436857282,0.004607355115406633,0.6927536931114036,0.9909785876389233,0.008803561924512355,0.3009229556555096,2026-03-21 18:57:08.694790
180,2,0.001,100,0.9973513658971205,0.0025817277370312032,1.4357049941589164,0.9949446156387362,0.0049333061715057065,0.21729601628909156,2026-03-21 18:57:45.866515
180,2,0.0005,100,0.9971218802513443,0.0028054164135104323,1.213506680259574,0.9947184045827981,0.0051540546484905615,0.19677148534073374,2026-03-21 18:58:19.093234
180,2,0.0003,100,0.9970254603265996,0.002899400702939105,0.4589873234616027,0.9943347716736188,0.005528423531883195,0.2373231117601043,2026-03-21 18:58:52.493902
180,4,0.001,100,0.9972461226522876,0.0026843124632584705,1.2935922409828255,0.9954074236553839,0.004481674113171029,0.20385851680654157,2026-03-21 18:59:38.756756
180,4,0.0005,100,0.997554978932918,0.002383258110151395,0.6606329474553558,0.9951348338377871,0.004747681390430494,0.22412464374421426,2026-03-21 19:00:15.963488
180,4,0.0003,100,0.9945579101763893,0.0053046187956864175,1.6053294288393898,0.9849514866199839,0.014685119592184758,0.45061452039099914,2026-03-21 19:01:02.658709
190,1,0.001,100,0.9965775583170471,0.003335988391769533,1.123007857951457,0.993237204832131,0.006599486162499624,0.249869707218291,2026-03-21 19:01:36.600792
190,1,0.0005,100,0.9959937205229964,0.0039050780312893957,0.6195934279345837,0.9923474653977646,0.007467740033802429,0.2634013535811354,2026-03-21 19:02:08.013787
190,1,0.0003,100,0.9954595721769083,0.00442573341335435,0.6041377953432637,0.9910877273436757,0.008697057741934905,0.3020177220170635,2026-03-21 19:02:45.968562
190,2,0.001,100,0.9975913160258757,0.00234783891779478,2.028646901472006,0.9952705636691436,0.004615229183666784,0.1717412863327261,2026-03-21 19:03:27.934557
190,2,0.0005,100,0.9964736812686614,0.003437241432635616,1.5968542675038513,0.995092734813373,0.004788763801205744,0.23828530023523753,2026-03-21 19:04:00.844546
190,2,0.0003,100,0.9969753718377848,0.002948223921192765,0.4305032871023677,0.9942889509070492,0.005573137811618963,0.21834643114933777,2026-03-21 19:04:42.612148
190,4,0.001,100,0.9957753700923846,0.004117912775994385,1.644152229961849,0.991536881371565,0.008258749953763227,0.254716212752656,2026-03-21 19:05:27.893885
190,4,0.0005,100,0.9969165211798918,0.003005587969952724,0.8678696938476131,0.9953328100210364,0.004554485966138269,0.20546066673639576,2026-03-21 19:06:03.712024
190,4,0.0003,100,0.9971604248631365,0.002767845465802381,0.3724283540897049,0.994011304893402,0.005844079187138281,0.258508320557719,2026-03-21 19:06:41.965844
200,1,0.001,100,0.9965020053847318,0.00340963280371779,0.7394959288875306,0.9934936522771027,0.0063492314493980824,0.2787869195284434,2026-03-21 19:07:29.209445
200,1,0.0005,100,0.996032940441659,0.0038668488354389363,0.7417758531982959,0.9922427655978998,0.007569911526990231,0.2484938367201985,2026-03-21 19:07:59.775759
200,1,0.0003,100,0.9955599515248152,0.00432788971858551,1.1761698561843825,0.9912174145626057,0.008570502229674612,0.28105684868471514,2026-03-21 19:08:31.073988
200,2,0.001,100,0.9977415050563077,0.0022014437682185434,0.7154684881102444,0.9954524435599702,0.004437741356081754,0.19538888509959615,2026-03-21 19:09:03.819673
200,2,0.0005,100,0.9971340993626773,0.0027935059655493726,0.7939727284091512,0.9943354967757531,0.005527715939625468,0.22943207695961595,2026-03-21 19:09:37.375060
200,2,0.0003,100,0.9972564620865814,0.002674234210368624,0.47011814805939084,0.9944340662424578,0.005431526743381058,0.24492306043274795,2026-03-21 19:10:10.322197
200,4,0.001,100,0.9973966089602214,0.0025376275456196326,0.32528874356620063,0.9957160640596581,0.004180486804279423,0.18657125191329235,2026-03-21 19:10:57.626514
200,4,0.0005,100,0.99735576476632,0.0025774399863706878,1.3041886652777614,0.9949274072925158,0.004950098967966588,0.23680437828552445,2026-03-21 19:11:35.592144
200,4,0.0003,100,0.9974678369993909,0.0024681987769655605,0.7473045846985772,0.9950011852540548,0.004878102607854003,0.22372215794393074,2026-03-21 19:12:13.086355
